index,header,gyrX,gyrY,gyrZ,accX,accY,accZ
0,-21877,5850,182,-688,-816,2112,16811
1,-21892,3336,-92,-688,-816,2112,16811
2,-21767,1007,-876,-944,-816,2112,16811
3,-21900,-1087,-1178,-1456,-816,2112,16811
4,-21932,-2336,-1166,-1968,-816,2112,16811
5,-21854,-2747,-783,-2480,-816,2112,16811
6,-21926,-1948,-968,-2480,-816,2112,16811
7,-21809,-1130,-879,-2544,-528,304,17579
8,-21930,-295,-933,-2288,-528,304,17579
9,-21888,-149,-567,-2288,-528,304,17579
10,-21771,-456,-512,-2032,-528,304,17579
11,-21995,-839,-49,-2288,-528,304,17579
12,-21942,-1916,492,-2544,-528,304,17579
13,-21917,-2334,573,-2544,-528,304,17579
14,-21922,-2523,1074,-2544,-528,304,17579
15,-21967,-2136,1520,-2544,-528,304,17579
16,-21908,-1826,1586,-2016,-560,-48,17835
17,-21998,-1756,1856,-1760,-560,-48,17835
18,-21870,-1595,1549,-1504,-560,-48,17835
19,-21794,-1761,1711,-1504,-560,-48,17835
20,-21978,-1494,1472,-1248,-560,-48,17835
21,-22014,-1511,1055,-992,-560,-48,17835
22,-21995,-1119,584,-1248,-560,-48,17835
23,-21805,-1170,461,-1504,-560,-48,17835
24,-21869,-1119,149,-1504,-560,-48,17835
25,-21824,-1302,-244,-1392,-352,-48,17835
26,-21887,-1527,-88,-1648,-352,-48,17835
27,-21870,-1100,-702,-1648,-352,-48,17835
28,-21944,-543,-845,-1648,-352,-48,17835
29,-21922,-447,-742,-1392,-352,-48,17835
30,-21870,-257,-682,-1392,-352,-48,17835
31,-21802,-447,-497,-1392,-352,-48,17835
32,-21788,-309,-493,-1392,-352,-48,17835
33,-21992,-119,-75,-1392,-352,-48,17835
34,-21960,-179,15,-1040,-528,-16,17579
35,-21775,-433,444,-1296,-528,-16,17579
36,-21991,-223,551,-1296,-528,-16,17579
37,-21882,-5,665,-1296,-528,-16,17579
38,-21981,-13,746,-1296,-528,-16,17579
39,-21881,-414,749,-1296,-528,-16,17579
40,-21795,-564,400,-1040,-528,-16,17579
41,-21768,-573,532,-784,-528,-16,17579
42,-21851,-341,1011,-1040,-528,-16,17579
43,-21904,230,899,-1040,-528,-16,17579
44,-21855,375,1090,-1280,-464,112,17579
45,-21929,262,1528,-1536,-464,112,17579
46,-21819,130,1174,-1536,-464,112,17579
47,-22010,235,569,-1536,-464,112,17579
