idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
0,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
1,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1982,1465,1938,1421
2,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
3,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
4,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
5,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
6,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
7,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
8,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
9,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
10,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
11,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
12,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
13,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
14,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
15,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
16,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
17,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
18,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
19,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1982,1465,1938,1421
20,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1981,1464,1938,1421
21,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
22,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1981,1464,1938,1421
23,1938,1421,1938,1421,1938,1421,1938,1421,10296,9779,1938,1421,1938,1421,1982,1465,1938,1421
24,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1982,1465,1938,1421
25,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1983,1466,1938,1421
26,1938,1421,1938,1421,1938,1421,1938,1421,10293,9776,1938,1421,1938,1421,1985,1468,1938,1421
27,1938,1421,1938,1421,1938,1421,1938,1421,10292,9775,1938,1421,1938,1421,1991,1474,1938,1421
28,1938,1421,1938,1421,1938,1421,1938,1421,10286,9769,1938,1421,1938,1421,2004,1487,1938,1421
29,1938,1421,1938,1421,1938,1421,1938,1421,10273,9756,1938,1421,1938,1421,2021,1504,1938,1421
30,1938,1421,1938,1421,1938,1421,1938,1421,10256,9739,1938,1421,1938,1421,2045,1528,1938,1421
31,1938,1421,1938,1421,1938,1421,1938,1421,10231,9714,1938,1421,1938,1421,2065,1548,1938,1421
32,1938,1421,1938,1421,1938,1421,1938,1421,10212,9695,1938,1421,1938,1421,2082,1565,1938,1421
33,1938,1421,1938,1421,1938,1421,1938,1421,10195,9678,1938,1421,1938,1421,2102,1585,1938,1421
34,1938,1421,1938,1421,1938,1421,1938,1421,10174,9657,1938,1421,1938,1421,2119,1602,1938,1421
35,1938,1421,1938,1421,1938,1421,1938,1421,10158,9641,1938,1421,1938,1421,2137,1620,1938,1421
