idx,ch0,ch1,ch2_throttle,ch3,ch4,ch5_autolander,ch6,ch7
0,1421,775,1421,1421,1421,1421,1607,1421
1,1421,775,1421,1421,1421,1421,1607,1421
2,1421,775,1421,1421,1421,1421,1607,1421
3,1421,775,1421,1421,1421,1421,1607,1421
4,1421,775,1421,1421,1421,1421,1607,1421
5,1421,775,1421,1421,1421,1421,1607,1421
6,1421,775,1421,1421,1421,1421,1607,1421
7,1421,775,1421,1421,1421,1421,1607,1421
8,1421,775,1421,1421,1421,1421,1607,1421
9,1421,775,1421,1421,1421,1421,1607,1421
10,1421,775,1421,1421,1421,1421,1607,1421
11,1421,775,1421,1421,1421,1421,1607,1421
12,1421,775,1421,1421,1421,1421,1607,1421
13,1421,775,1421,1421,1421,1421,1607,1421
14,1421,775,1421,1421,1421,1421,1607,1421
15,1421,775,1421,1421,1421,1421,1607,1421
16,1421,775,1421,1421,1421,1421,1607,1421
17,1421,775,1421,1421,1421,1421,1607,1421
18,1421,775,1421,1421,1421,1421,1607,1421
19,1421,775,1421,1421,1421,1421,1607,1421
20,1421,775,1421,1421,1421,1421,1607,1421
21,1421,775,1421,1421,1421,1421,1607,1421
22,1421,775,1421,1421,1421,1421,1607,1421
23,1421,775,1421,1421,1421,1421,1607,1421
24,1421,775,1421,1421,1421,1421,1607,1421
25,1421,775,1421,1421,1421,1421,1607,1421
26,1421,775,1421,1421,1421,1421,1607,1421
27,1421,775,1421,1421,1421,1421,1607,1421
28,1421,775,1421,1421,1421,1421,1607,1421
29,1421,775,1421,1421,1421,1421,1607,1421
30,1421,775,1421,1421,1421,1421,1607,1421
31,1421,775,1421,1421,1421,1421,1607,1421
32,1421,775,1421,1421,1421,1421,1607,1421
33,1421,775,1421,1421,1421,1421,1607,1421
34,1421,775,1421,1421,1421,1421,1607,1421
35,1421,775,1421,1421,1421,1421,1607,1421
36,1421,775,1421,1421,1421,1421,1607,1421
37,1421,775,1421,1421,1421,1421,1607,1421
38,1421,775,1421,1421,1421,1421,1607,1421
39,1421,775,1421,1421,1421,1421,1607,1421
40,1421,775,1421,1421,1421,1421,1607,1421
41,1421,775,1421,1421,1421,1421,1607,1421
42,1421,775,1421,1421,1421,1421,1607,1421
43,1421,775,1421,1421,1421,1421,1607,1421
44,1421,775,1421,1421,1421,1421,1607,1421
45,1421,775,1421,1421,1421,1421,1607,1421
46,1421,775,1421,1421,1421,1421,1607,1421
47,1421,775,1421,1421,1421,1421,1607,1421
48,1421,775,1421,1421,1421,1421,1607,1421
49,1421,775,1421,1421,1421,1421,1607,1421
50,1421,775,1421,1421,1421,1421,1607,1421
51,1421,775,1421,1421,1421,1421,1607,1421
52,1421,775,1421,1421,1421,1421,1607,1421
53,1421,775,1421,1421,1421,1421,1607,1421
54,1421,775,1421,1421,1421,1421,1607,1421
55,1421,775,1421,1421,1421,1421,1607,1421
56,1421,775,1421,1421,1421,1421,1607,1421
57,1421,775,1421,1421,1421,1421,1607,1421
